Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0034281100,-0.0105494986,-0.0015819729,-0.0034281100,-0.0018461372,0.0005273242,0.0031649499,-0.0002631600,0.0063298999,-0.0118673070,-0.0013188130,-0.0029017902,0.0010546484,-0.0036922743,,,
0.0078125000,0,-0.0280266665,-0.0798557711,-0.0062393452,-0.0248627209,-0.0049089275,0.0036620890,0.0248802963,-0.0018275571,0.0560904927,-0.0929629407,-0.0062579254,-0.0196236255,0.0086429911,-0.0248501117,,,
0.0117187500,0,-0.1082970709,-0.2791587389,0.0078724335,-0.0789399870,0.0255713550,0.0130236508,0.0922424395,-0.0024131620,0.2392565593,-0.3350883597,-0.0017437162,-0.0546752524,0.0354691726,-0.0698664811,,,
0.0156250000,1,-0.2614812043,-0.5873839726,0.1197346336,-0.1299478052,0.1853789951,0.0363584107,0.2153935856,0.0201194462,0.6540277958,-0.7182849362,0.0699363034,-0.0600751159,0.1006516669,-0.0848871863,,,
0.0195312500,1,-0.4289253381,-0.7745286763,0.4464669448,-0.0483110863,0.5644661187,0.0989324011,0.3548186239,0.1261962413,1.2756948712,-0.9319313065,0.3075751483,0.0913342591,0.2298287072,0.0675847414,,,
0.0234375000,1,-0.4508489038,-0.4652247992,1.0462447496,0.3460684549,1.1038572130,0.2578395692,0.4340616385,0.3971555412,1.8420586180,-0.4407914881,0.7817294240,0.5453158452,0.4582204568,0.5290912708,,,
0.0273437500,1,-0.1187317380,0.5956687554,1.8149296017,1.1445159646,1.5420302818,0.5778367993,0.4010456462,0.8541420938,1.9034197942,1.0916348344,1.4376373024,1.3281789853,0.8182001903,1.2930434729,,,
0.0312500000,2,0.7012194240,2.2609468051,2.4611117834,2.1978395958,1.5510319280,1.0394252435,0.2750323611,1.3444561174,1.0618358724,3.2965680231,2.0437623442,2.2216395437,1.2834559504,2.0968628406,,,
0.0351562500,2,1.9223207146,3.9115828330,2.5780374247,3.0665496347,0.9572352093,1.4293215185,0.1142076334,1.4975945147,-0.7550152483,4.9981487206,2.2337866452,2.7575588144,1.6856020581,2.4637667019,,,
0.0390625000,2,3.1511216672,4.6923303000,1.7894328392,3.1511994516,-0.1408277980,1.3473855906,-0.0795400750,0.8615126022,-3.1854898681,4.7869471368,1.6465138394,2.3924404367,1.6909870731,1.9159543994,,,
0.0429687500,2,3.7504714880,3.9335058125,-0.0660011034,1.9799780670,-1.4401753380,0.4188386315,-0.4173802621,-0.7921116878,-5.5628381867,1.9897587820,0.1128637575,0.8112177038,0.9207482647,0.2622629760,,,
0.0468750000,3,3.0770297876,1.4975101662,-2.7955568002,-0.5021770973,-2.6354444080,-1.4017942942,-1.0605353461,-3.2031896269,-7.1999727853,-2.6865177285,-2.2274882836,-1.8222552921,-0.8262093766,-2.2376985670,,,
0.0507812500,3,0.8182980157,-2.1456429275,-5.8504735519,-3.8251188375,-3.6098881775,-3.6788640813,-2.0498466421,-5.6220610005,-7.6286811734,-7.4025346029,-4.9439807141,-4.8507772427,-3.3696290911,-4.9572647074,,,
0.0546875000,3,-2.6982537950,-6.0652225091,-8.4233383711,-7.0998091820,-4.4008748967,-5.5964421459,-3.1082136323,-7.0242083231,-6.5494968693,-10.1459185236,-7.3446732926,-7.3326318271,-6.0220696159,-7.0949602940,,,
0.0585937500,3,-6.4080874958,-9.0945243058,-9.5783457787,-9.2655199512,-4.9066698562,-6.2365035105,-3.5870586921,-6.3975572685,-3.6054576488,-9.6833708665,-8.4746945802,-8.3330675870,-7.6372771392,-7.8055181990,,,
0.0625000000,4,-8.8281918946,-10.1476998693,-8.5090396978,-9.4488042467,-4.6789209009,-4.9593079086,-2.7521034694,-3.1615580817,1.4773383028,-6.0163910707,-7.3607561132,-7.2448213295,-7.0451572171,-6.3956443964,,,
0.0664062500,4,-8.7635670534,-8.6648548891,-4.9748440566,-7.3627112546,-3.1362298888,-1.7673092545,-0.3296455361,2.3094273987,8.2251137713,-0.3334498256,-3.6413325315,-4.1043023335,-3.8211794323,-2.7280484435,,,
0.0703125000,4,-6.0082611833,-4.9797491449,0.3352798071,-3.5150248448,-0.0806248956,2.5676561094,3.0998695056,8.4433294843,14.8813964539,5.4020110156,1.8395947985,0.2700499768,1.1472919369,2.3980214188,,,
0.0742187500,4,-1.5535548567,-0.2862979955,5.8773127218,0.9811542434,3.9163618288,6.7420879346,6.2297495657,12.8964589488,18.7600142720,9.1338024380,7.0974886904,4.5052600898,5.8700707575,7.3088157802,,,
0.0781250000,5,2.8791130578,3.8867091917,9.8613549892,4.9241338507,7.5866649916,9.4118148993,7.6547800847,13.5858376626,17.5293561057,9.5140729495,9.9119933757,7.2308507719,8.2676334126,10.1104305229,,,
0.0820312500,5,5.7143624318,6.4151007387,11.0946577525,7.5479846291,9.4997791661,9.6927653253,6.6122236297,9.7926931758,10.6662089956,6.5333781650,9.0890684859,7.6864412611,7.3879278624,9.6334871841,,,
0.0859375000,5,6.2929618860,7.0892418735,9.5729850562,8.7539084423,8.7892571410,7.4872801712,3.3936482286,2.7012371422,0.1032550277,1.6570221926,5.2699908488,6.0683326139,4.0320476802,6.1198241458,,,
0.0898437500,5,5.1108206506,6.5935644757,6.4689000818,8.9708495205,5.6855694880,3.5500299357,-0.7797383042,-4.9706742877,-10.4194509120,-2.7035248970,0.7100730886,3.4559834832,0.3553330039,1.2158975328,,,
0.0937500000,6,3.4255138335,5.9759041833,3.4923370392,8.7749060882,1.5114758981,-0.7640788750,-4.3222476395,-10.1425828523,-17.0181313069,-4.2703969443,-1.9356777087,1.3368105968,-1.3581738161,-2.7926558336,,,
0.0976562500,6,2.4864236517,5.9392886945,1.9541843305,8.4933417362,-1.9468685872,-4.0494171342,-5.9948947151,-10.8262850501,-17.4866432494,-2.0813219801,-1.1501677327,0.9005553260,-0.0374283456,-4.1367765266,,,
0.1015625000,6,2.8467625110,6.4149911958,2.0781713559,8.0168688288,-3.3743482520,-5.4659570649,-5.4219497595,-7.1236532765,-12.3090444401,2.8785341044,2.5274153889,2.4150565807,3.5337139446,-2.4663072409,,,
0.1054687500,6,4.1374066935,6.6892870652,2.9888102634,6.9232931133,-2.6017384205,-5.0584145240,-3.1793980626,-1.1820954826,-4.3169531566,8.0549441162,6.8083690456,5.0251334753,7.1845480044,1.0344856985,,,
0.1093750000,7,5.3621021414,5.9418141805,3.3453008236,4.7966928079,-0.6209533574,-3.5923846927,-0.4492408875,3.9059700129,2.7927066805,10.5674996793,8.9863355715,7.1176325902,8.6241917532,4.3451368811,,,
0.1132812500,7,5.4539120407,3.7558045692,2.1443361736,1.4912071218,1.0174616879,-2.0782859503,1.5439460919,5.6366918010,6.2225866148,8.5974310152,7.4155688179,7.0731515118,6.6704775312,5.6274496733,,,
0.1171875000,7,3.7665866388,0.2737985838,-0.8138658062,-2.7982353655,1.0456131434,-1.3127294466,2.0356739829,3.2351445415,5.1941300144,2.1792452076,2.2644563568,4.0416830363,1.7197992047,3.9871922557,,,
0.1210937500,7,0.3430216803,-3.9454216793,-4.9391329889,-7.5698294208,-0.8642429913,-1.6145197437,0.9916133942,-2.0914345846,0.9907897460,-6.8462488712,-4.7164827819,-1.5781670617,-4.6379878803,-0.2582351703,,,
0.1250000000,8,-4.0468274367,-8.1065767538,-9.1533065558,-12.0277734784,-3.9193878136,-2.7443975501,-0.9034705016,-7.7794375416,-3.8898816105,-15.4931936136,-11.0730063637,-8.1553912591,-10.4213448569,-5.7243668947,,,
0.1289062500,8,-8.1072835026,-11.2891864293,-12.2635570948,-15.1382580358,-6.6146017051,-3.9928939356,-2.5393712294,-11.0775212817,-6.9626829756,-20.6101856081,-14.6678979878,-13.4127370895,-13.9922766999,-10.4120503375,,,
0.1328125000,8,-10.4769910982,-12.6202484384,-13.3275637904,-15.9045751121,-7.5672511600,-4.4703008608,-2.9015261043,-10.2804756222,-6.8244332299,-19.9890019683,-14.4799054350,-15.4301183787,-14.5129490722,-12.4324786244,,,
0.1367187500,8,-10.3301250521,-11.6070839738,-11.9688328783,-13.8506024577,-6.3140058854,-3.5419066240,-1.6189125724,-5.5106485348,-3.6529972997,-13.3380478111,-10.9499953739,-13.5979308370,-12.1086009960,-10.8387783894,,,
0.1406250000,9,-7.8129859283,-8.4768910660,-8.5322490870,-9.4115773251,-3.5471040092,-1.1917645068,0.7788443513,1.3395045198,1.0472700385,-2.6606406500,-5.7316717221,-8.9388482707,-7.7390136311,-6.1621634687,,,
0.1445312500,9,-4.0133715914,-4.2272171965,-3.9684928288,-3.8914010682,-0.6231801944,1.9151196136,3.1123566545,7.5156944889,5.2907230392,8.3555822645,-0.8980117086,-3.5394951181,-2.7946334689,-0.2573687016,,,
0.1484375000,9,-0.4241229794,-0.2403583689,0.5378183192,1.0777463737,1.3056939618,4.7268843942,4.2128938247,10.7200338580,7.5882164013,15.8529651930,2.0460933577,0.5881456611,1.4568275659,4.5736772718,,,
0.1523437500,9,1.8065470146,2.3784704112,4.0301123459,4.2935478965,1.9403861357,6.2975328699,3.5936806228,10.1679072422,7.5668911703,17.5387548149,2.8299468971,2.5201690460,4.3384552224,6.7412308417,,,
0.1562500000,10,2.3967715432,3.3521898487,6.1025642193,5.5231268868,1.8535440112,6.2121297851,1.6972798912,6.8495398661,5.9712536604,13.6953795029,2.3823119933,2.7175453998,5.9128658820,6.1381125042,,,
0.1601562500,10,1.9219648410,3.2990611241,6.9191386391,5.5002778828,1.9160156499,4.7237898384,-0.4382575660,2.8759889156,4.1043671558,6.8493392662,2.1087355517,2.4879403959,6.7176256538,4.0351561642,,,
0.1640625000,10,1.3152513966,3.2361561003,6.9433394981,5.3786171405,2.5669441872,2.5615766274,-1.8510164365,0.2773676007,3.0323860219,0.2744946890,2.9224181899,3.0117628339,7.2434806063,2.1604605235,,,
0.1679687500,10,1.2438875433,3.8500882412,6.5905603136,5.9918828688,3.4770727590,0.5729201565,-2.1889164923,-0.0572218824,3.0027360350,-3.7346921540,4.6668428934,4.5835765020,7.5289667533,1.5901317654,,,
