Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0000275873,-0.0000321851,-0.0000308718,-0.0000249606,-0.0000203627,-0.0000013133,-0.0000078824,0.0000243002,0.0000243002,-0.0000019712,-0.0000190494,-0.0000183915,-0.0000091958,-0.0000118224,,,
0.0078125000,0,-0.0002782731,-0.0003116267,-0.0002982503,-0.0002390474,-0.0002096363,-0.0000153426,-0.0000671244,0.0002346293,0.0002333160,-0.0000263106,-0.0001923224,-0.0001806990,-0.0000896941,-0.0001216927,,,
0.0117187500,0,-0.0014158598,-0.0015182748,-0.0014541009,-0.0011542560,-0.0010893527,-0.0000851878,-0.0002742105,0.0011426765,0.0011273313,-0.0001629253,-0.0009798255,-0.0009016509,-0.0004411925,-0.0006354536,,,
0.0156250000,1,-0.0049100518,-0.0050415354,-0.0048521489,-0.0038093531,-0.0038521748,-0.0003065144,-0.0007136655,0.0038103033,0.0037237804,-0.0006369262,-0.0034018212,-0.0030928920,-0.0014825035,-0.0022732783,,,
0.0195312500,1,-0.0131876736,-0.0129931265,-0.0126313848,-0.0097920886,-0.0105070573,-0.0008198199,-0.0013021730,0.0099320692,0.0096127467,-0.0017865510,-0.0091360619,-0.0082847025,-0.0038723125,-0.0063215329,,,
0.0234375000,1,-0.0294567162,-0.0279492684,-0.0275951758,-0.0210938526,-0.0236840614,-0.0017672186,-0.0016500763,0.0218132784,0.0209334424,-0.0038342998,-0.0203521313,-0.0185680632,-0.0084377244,-0.0146417719,,,
0.0273437500,1,-0.0572351533,-0.0525301357,-0.0529379532,-0.0398740786,-0.0460799934,-0.0032398657,-0.0010688619,0.0423103873,0.0403634835,-0.0064516084,-0.0392789252,-0.0363174301,-0.0160035938,-0.0294782352,,,
0.0312500000,2,-0.0997561765,-0.0889816282,-0.0918920742,-0.0682232966,-0.0797363568,-0.0052435232,0.0012517085,0.0747577525,0.0711440799,-0.0082903822,-0.0676328488,-0.0637469546,-0.0271410714,-0.0530830093,,,
0.0351562500,2,-0.1594444013,-0.1388830392,-0.1473483438,-0.1079538117,-0.1254231471,-0.0076809821,0.0060023285,0.1228461476,0.1170745484,-0.0067318000,-0.1060919746,-0.1024268176,-0.0418800175,-0.0872478832,,,
0.0390625000,2,-0.2375671608,-0.2029973627,-0.2214706153,-0.1603695839,-0.1823051108,-0.0103441648,0.0135951901,0.1903988332,0.1823672113,0.0019848776,-0.1539527560,-0.1528910796,-0.0594464424,-0.1328540665,,,
0.0429687500,2,-0.3340517066,-0.2811919685,-0.3153209502,-0.2259640685,-0.2479177361,-0.0129539433,0.0241555912,0.2810018225,0.2712692441,0.0222699952,-0.2090085613,-0.2144223593,-0.0780978068,-0.1895345754,,,
0.0468750000,3,-0.4473880740,-0.3723344396,-0.4285174717,-0.3040664218,-0.3183917777,-0.0153046460,0.0376097954,0.3974807329,0.3874415770,0.0584921266,-0.2676064536,-0.2850209067,-0.0951107986,-0.2554987223,,,
0.0507812500,3,-0.5745079431,-0.4740902524,-0.5589108323,-0.3924966693,-0.3888196877,-0.0174765218,0.0537605397,0.5413008201,0.5332481602,0.1143202889,-0.3247867548,-0.3614611750,-0.1068979960,-0.3274853597,,,
0.0546875000,3,-0.7105565260,-0.5825937293,-0.7022213354,-0.4872585330,-0.4536232829,-0.0199409676,0.0722921593,0.7120629285,0.7092486671,0.1923134369,-0.3744059760,-0.4392715695,-0.1091513609,-0.4007385867,,,
0.0585937500,3,-0.8485929491,-0.6920554346,-0.8516271361,-0.5822867161,-0.5068101527,-0.0233748777,0.0927337843,0.9072562982,0.9141136590,0.2938399323,-0.4092228966,-0.5125505285,-0.0969428123,-0.4689390227,,,
0.0625000000,4,-0.9794076883,-0.7944902812,-0.9974390949,-0.6693269031,-0.5421264222,-0.0281799092,0.1144434218,1.1222663115,1.1448682572,0.4192145677,-0.4210507381,-0.5737412016,-0.0648527462,-0.5241833236,,,
0.0664062500,4,-1.0916780075,-0.8797790681,-1.1270900440,-0.7380635500,-0.5532291314,-0.0339094933,0.1366394361,1.3504735829,1.3970839593,0.5678421134,-0.4011130197,-0.6136325955,-0.0072812037,-0.5572167965,,,
0.0703125000,4,-1.1725251443,-0.9361364888,-1.2255797854,-0.7765363321,-0.5339889290,-0.0388557621,0.1584509483,1.5832919415,1.6646709023,0.7382415293,-0.3406273069,-0.6217766095,0.0810030695,-0.5580329424,,,
0.0742187500,4,-1.2083345050,-0.9508770163,-1.2763401894,-0.7717977772,-0.4789241540,-0.0399579583,0.1789351594,1.8101353339,1.9392491050,0.9279559975,-0.2315112638,-0.5872913829,0.2041952769,-0.5167448284,,,
0.0781250000,5,-1.1856626337,-0.9113388333,-1.2624067785,-0.7108002983,-0.3837123885,-0.0331094853,0.1970175095,2.0183936954,2.2093940688,1.1333467817,-0.0671321347,-0.4998823176,0.3648271396,-0.4245376148,,,
0.0820312500,5,-1.0921953301,-0.8059513871,-1.1678296510,-0.5816009765,-0.2457680896,-0.0138969613,0.2113329720,2.1934697661,2.4601278896,1.3491767679,0.1568368577,-0.3509415992,0.5632069690,-0.2746054499,,,
0.0859375000,5,-0.9178357280,-0.6255214250,-0.9792827351,-0.3749360879,-0.0648941522,0.0212989283,0.2199896002,2.3188989999,2.6728903272,1.5679321697,0.4413579591,-0.1346727895,0.7968319926,-0.0630996067,,,
0.0898437500,5,-0.6559306913,-0.3647154543,-0.6877478130,-0.0859833995,0.1560681869,0.0741034100,0.2203444678,2.3766295479,2.8260322983,1.7790571573,0.7828497730,0.1508004205,1.0597175410,0.2099044429,,,
0.0937500000,6,-0.3044576231,-0.0235037645,-0.2900350982,0.2841063292,0.4107691687,0.1432549148,0.2089408002,2.3476009742,2.8957345002,1.9684715697,1.1721881044,0.5024441921,1.3417538461,0.5395569637,,,
0.0976562500,6,0.1331166456,0.3918065449,0.2101200898,0.7273311985,0.6892426897,0.2243660136,0.1817328883,2.2127264279,2.8572036773,2.1186979601,1.5942350196,0.9116085876,1.6283419483,0.9157491230,,,
0.1015625000,6,0.6475224752,0.8682674840,0.8015552066,1.2287923710,0.9782457052,0.3104273836,0.1346016823,1.9542704400,2.6860478891,2.2096755436,2.0280942433,1.3637814695,1.9005765397,1.3232124938,,,
0.1054687500,6,1.2239436310,1.3868114882,1.4658153369,1.7673570721,1.2620039910,0.3928511722,0.0640278599,1.5575041707,2.3598371567,2.2200860291,2.4480787708,1.8389218218,2.1361282417,1.7422620032,,,
0.1093750000,7,1.8426877591,1.9234315192,2.1778573182,2.3167405917,1.5232241803,0.4626897367,-0.0322502969,1.0124544832,1.8599027934,2.1289118689,2.8252281678,2.3123790601,2.3107691899,2.1500380480,,,
0.1132812500,7,2.4800554266,2.4506986869,2.9071924958,2.8467665165,1.7441980150,0.5117171661,-0.1547070208,0.3155482528,1.1733455078,1.9170140583,3.1291622079,2.7562804503,2.4002775915,2.5219748584,,,
0.1171875000,7,3.1092756781,2.9393366164,3.6193479386,3.3247657300,1.9078946850,0.5332671426,-0.3016657285,-0.5290128819,0.2950786374,1.5686741751,3.3300829246,3.1411979703,2.3823781385,2.8332490929,,,
0.1210937500,7,3.7015223955,3.3597463237,4.2775738505,3.7172388055,1.9990593002,0.5228912696,-0.4691170817,-1.5082695716,-0.7703623489,1.0731391460,3.4007789155,3.4379051039,2.2384552047,3.0600984474,,,
0.1250000000,8,4.2270825759,3.6835003753,4.8447094303,3.9918428419,2.0053534882,0.4788624273,-0.6507520658,-2.6000570649,-2.0075419170,0.4261167971,3.3184684635,3.6190521792,1.9548971852,3.1809924282,,,
0.1289062500,8,4.6566507470,3.8847840347,5.2850216347,4.1194998501,1.9184206385,0.4023564845,-0.8382596223,-3.7732994453,-3.3896599999,-0.3690277201,3.0662627315,3.6605996201,1.5239960762,3.1776110842,,,
0.1328125000,8,4.9626007526,3.9416605417,5.5657994400,4.0762425296,1.7346115511,0.2970974811,-1.0219077011,-4.9891866179,-4.8790614413,-1.3006770438,2.6340807712,3.5429216451,0.9443880536,3.0355679161,,,
0.1367187500,8,5.1201227877,3.8370783930,5.6586575081,3.8445555105,1.4552060951,0.1685358030,-1.1913181259,-6.2030743932,-6.4285841829,-2.3490276220,2.0190855031,3.2516789623,0.2211621104,2.7449452625,,,
0.1406250000,9,5.1083075675,3.5597232800,5.5407658366,3.4143252031,1.0862663944,0.0230257687,-1.3362030487,-7.3666078739,-7.9832876602,-3.4865292520,1.2259787016,2.7787249954,-0.6340839479,2.3008984450,,,
0.1445312500,9,4.9113784400,3.1049174382,5.1962905774,2.7837149089,0.6384352424,-0.1324600428,-1.4468034201,-8.4295329644,-9.4820724826,-4.6783273458,0.2675100893,2.1232441739,-1.6029891485,1.7045678088,,,
0.1484375000,9,4.5201299371,2.4756212711,4.6180848213,1.9601259613,0.1268473680,-0.2899547549,-1.5139600083,-9.3410244520,-10.8590844607,-5.8826335239,-0.8347651970,1.2930145555,-2.6599990825,0.9642304654,,,
0.1523437500,9,3.9333327041,1.6833127977,3.8093050646,0.9610526820,-0.4289980805,-0.4398999935,-1.5290385620,-10.0508394089,-12.0452991318,-7.0513421469,-2.0498615762,0.3053843094,-3.7721033011,0.0962668404,,,
0.1562500000,10,3.1586844567,0.7483713115,2.7844516883,-0.1855899229,-1.0057304752,-0.5710029403,-1.4840726925,-10.5108270715,-12.9708723260,-8.1313238975,-3.3374385565,-0.8125006556,-4.8991975732,-0.8745785328,,,
0.1601562500,10,2.2129766576,-0.3002952406,1.5694560590,-1.4420282600,-1.5771680717,-0.6709556202,-1.3723448262,-10.6771530658,-13.5685565041,-9.0665871434,-4.6489909445,-2.0244558715,-5.9953717371,-1.9159323067,,,
0.1640625000,10,1.1214298708,-1.4263637779,0.2007458125,-2.7621673242,-2.1158430395,-0.7278856053,-1.1893050787,-10.5131736304,-13.7779350122,-9.8011416037,-5.9301846900,-3.2869096186,-7.0111148255,-2.9894398959,,,
0.1679687500,10,-0.0835699216,-2.5877079379,-1.2764752317,-4.0938709177,-2.5946513781,-0.7319868976,-0.9334873964,-9.9924892893,-13.5497795379,-10.2821838740,-7.1239634582,-4.5511039462,-7.8961267118,-4.0529471702,,,
0.1718750000,11,-1.3639878492,-3.7382281157,-2.8103425603,-5.3815746804,-2.9882892142,-0.6767531262,-0.6070934691,-9.1015471872,-12.8497528158,-10.4632237835,-8.1738249947,-5.7654490885,-8.6022561128,-5.0627580314,,,
0.1757812500,11,-2.6776518181,-4.8297549986,-4.3445180530,-6.5688768472,-3.2743618055,-0.5595903379,-0.2161331013,-7.8413383378,-11.6609931993,-10.3069027074,-9.0267380963,-6.8777730223,-9.0861187063,-5.9756612349,,,
