Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0000085378,-0.0000262739,-0.0000039400,-0.0000085378,-0.0000045979,0.0000013133,0.0000078824,-0.0000006554,0.0000157649,-0.0000295560,-0.0000032846,-0.0000072270,0.0000026266,-0.0000091958,,,
0.0078125000,0,-0.0000846373,-0.0002445389,-0.0000223856,-0.0000767574,-0.0000202154,0.0000114027,0.0000756623,-0.0000056905,0.0001670894,-0.0002828859,-0.0000212930,-0.0000614315,0.0000260899,-0.0000778692,,,
0.0117187500,0,-0.0004213470,-0.0011342081,-0.0000213955,-0.0003345395,0.0000261042,0.0000529510,0.0003654169,-0.0000162481,0.0008946387,-0.0013418891,-0.0000430964,-0.0002467762,0.0001350750,-0.0003142248,,,
0.0156250000,1,-0.0014228196,-0.0035466195,0.0002517292,-0.0009401817,0.0004993593,0.0001877655,0.0012064991,0.0000192782,0.0032620412,-0.0042517735,0.0000901375,-0.0006063595,0.0004975501,-0.0007928068,,,
0.0195312500,1,-0.0036988363,-0.0085026761,0.0015575057,-0.0018712068,0.0023063290,0.0005917596,0.0031153126,0.0003437009,0.0091925900,-0.0102013147,0.0009177316,-0.0009083084,0.0014885156,-0.0013141332,,,
0.0234375000,1,-0.0079232387,-0.0167648895,0.0054893347,-0.0025724746,0.0070322397,0.0017210514,0.0068003596,0.0016145678,0.0214982055,-0.0198461544,0.0036454610,-0.0003023782,0.0038707294,-0.0010818986,,,
0.0273437500,1,-0.0145379155,-0.0283274080,0.0147613568,-0.0015480373,0.0169399587,0.0045505066,0.0131943350,0.0051260179,0.0436658651,-0.0326135393,0.0104089147,0.0030320227,0.0090503108,0.0015877647,,,
0.0312500000,2,-0.0233339826,-0.0419734321,0.0333856797,0.0039774840,0.0349064980,0.0107649132,0.0235109346,0.0128753128,0.0794521846,-0.0463911098,0.0244304530,0.0121155635,0.0193238050,0.0094120015,,,
0.0351562500,2,-0.0330203263,-0.0550084669,0.0666335761,0.0181912837,0.0643314634,0.0227364302,0.0392522012,0.0273398486,0.1323334307,-0.0577821132,0.0499817810,0.0311543900,0.0379691071,0.0260597237,,,
0.0390625000,2,-0.0409456319,-0.0632182259,0.1206950094,0.0465349381,0.1089759310,0.0432134526,0.0620672043,0.0509632096,0.2048230076,-0.0627562030,0.0921018979,0.0652388823,0.0690647674,0.0558346692,,,
0.0429687500,2,-0.0431162646,-0.0610625023,0.2020414991,0.0952637540,0.1726703199,0.0748083944,0.0934207505,0.0854931799,0.2976772966,-0.0573326684,0.1560759723,0.1198160786,0.1170208988,0.1031828912,,,
0.0468750000,3,-0.0345779073,-0.0421429595,0.3165417855,0.1707597056,0.2588099685,0.1194169329,0.1341104376,0.1313018531,0.4090262136,-0.0380980147,0.2466624993,0.2000090043,0.1858555943,0.1720433055,,,
0.0507812500,3,-0.0101168755,0.0000195952,0.4683890337,0.2786347937,0.3695783366,0.1776357467,0.1837526601,0.1867582868,0.5335794678,-0.0026534973,0.3670866679,0.3098232904,0.2783118348,0.2650262670,,,
0.0546875000,3,0.0349427994,0.0710509152,0.6590602627,0.4227692522,0.5050887964,0.2482989490,0.2404816092,0.2479086473,0.6624077233,0.0499649210,0.5181193611,0.4513786094,0.3951273481,0.3826368061,,,
0.0585937500,3,0.1041407686,0.1749484731,0.8866545788,0.6045129697,0.6628476834,0.3283245031,0.3010732059,0.3088111025,0.7837873817,0.1191130076,0.6977168532,0.6243966048,0.5348185431,0.5229464492,,,
0.0625000000,4,0.1995685631,0.3136048487,1.1457207278,0.8221267259,0.8377182267,0.4129048362,0.3614109833,0.3624584365,0.8848623447,0.2027324138,0.9012596927,0.8260129050,0.6939278573,0.6818139221,,,
0.0664062500,4,0.3216928200,0.4864812030,1.4273681234,1.0703623066,1.0222323481,0.4959098931,0.4170125152,0.4018187830,0.9533365698,0.2976887039,1.1219507313,1.0507552961,0.8673109673,0.8533461115,,,
0.0703125000,4,0.4691427571,0.6902576598,1.7194319098,1.3401324219,1.2070412588,0.5703978113,0.4634266115,0.4205912003,0.9786233031,0.3999283525,1.3509623262,1.2905277521,1.0481371052,1.0302574464,,,
0.0742187500,4,0.6384209400,0.9184650137,2.0066336169,1.6183722054,1.3813791887,0.6291765606,0.4964767270,0.4135503702,0.9523507864,0.5043212827,1.5772562208,1.5345754170,1.2276128577,1.2039972179,,,
0.0781250000,5,0.8236176006,1.1612466848,2.2708268475,1.8882322665,1.5334666408,0.6653271827,0.5124011427,0.3765658617,0.8684426634,0.6043093590,1.7873002150,1.7694922078,1.3946906735,1.3647149868,,,
0.0820312500,5,1.0162552486,1.4054189880,2.4914697062,2.1296655851,1.6508310890,0.6725935704,0.5079350358,0.3064862386,0.7230769313,0.6916476930,1.9650317546,1.9793517048,1.5360760654,1.5012434321,,,
0.0859375000,5,1.2053803608,1.6349377737,2.6464543441,2.3204010694,1.7206387902,0.6456577751,0.4803715974,0.2011283369,0.5147664049,0.7565661801,2.0923652620,2.1460784072,1.6367455053,1.6013073245,,,
0.0898437500,5,1.3779742220,1.8317800038,2.7133555574,2.4372722818,1.7302249568,0.5804439808,0.4276572862,0.0595821241,0.2446858325,0.7885538999,2.1503419519,2.2502158119,1.6810015012,1.6521081818,,,
0.0937500000,6,1.5196723436,1.9771222905,2.6710087328,2.4578200328,1.6679250596,0.4745401534,0.3485642372,-0.1171493610,-0.0828041454,0.7776759384,2.1207382765,2.2721714710,1.6538785401,1.6412687385,,,
0.0976562500,6,1.6157013993,2.0526264175,2.5011804904,2.3620180618,1.5241017708,0.3276451885,0.2429215911,-0.3254136731,-0.4596579493,0.7160557136,1.9877541438,2.1938278124,1.5425867411,1.5579476859,,,
0.1015625000,6,1.6519296202,2.0417079659,2.1901101372,2.1339716391,1.2921502678,0.1418845749,0.1118389918,-0.5584056526,-0.8739197684,0.5991326816,1.7394664174,2.0002631589,1.3377535136,1.3939160067,,,
