Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0000065691,-0.0000091958,-0.0000190494,-0.0000170782,-0.0000229894,-0.0000177336,-0.0000164203,-0.0000019687,-0.0000013133,-0.0000072270,-0.0000085378,-0.0000164203,-0.0000105091,-0.0000098512,,,
0.0078125000,0,-0.0000570351,-0.0000713026,-0.0001778709,-0.0001476203,-0.0002087968,-0.0001552820,-0.0001412527,-0.0000046153,-0.0000114027,-0.0000535515,-0.0000833240,-0.0001511063,-0.0001004389,-0.0000940688,,,
0.0117187500,0,-0.0002444845,-0.0002604960,-0.0008372770,-0.0006296321,-0.0009321621,-0.0006610238,-0.0005944632,0.0000614711,-0.0000391574,-0.0001671931,-0.0004152001,-0.0006977494,-0.0004798935,-0.0004506166,,,
0.0156250000,1,-0.0007071153,-0.0005999213,-0.0027024464,-0.0018048957,-0.0027587640,-0.0018345143,-0.0016541856,0.0005176623,-0.0000358198,-0.0002094341,-0.0014286367,-0.0021998417,-0.0015522109,-0.0014698265,,,
0.0195312500,1,-0.0015920027,-0.0009770716,-0.0068334080,-0.0039948206,-0.0061406247,-0.0037247262,-0.0034617258,0.0021920647,0.0002605539,0.0004025212,-0.0038389891,-0.0054140229,-0.0038661484,-0.0037250318,,,
0.0234375000,1,-0.0030355929,-0.0011753828,-0.0145678618,-0.0074040062,-0.0110105943,-0.0057831782,-0.0058491408,0.0065816705,0.0015533381,0.0029311748,-0.0085730477,-0.0111982967,-0.0079489566,-0.0078873742,,,
0.0273437500,1,-0.0051537788,-0.0009941811,-0.0273455828,-0.0120691297,-0.0165513327,-0.0066869006,-0.0083169011,0.0157887076,0.0051904592,0.0093786421,-0.0164698380,-0.0203251973,-0.0140388206,-0.0145575825,,,
0.0312500000,2,-0.0079913859,-0.0003050601,-0.0464114948,-0.0177537336,-0.0213028776,-0.0044274933,-0.0101562315,0.0322302551,0.0132215744,0.0223511429,-0.0278117520,-0.0332061391,-0.0217783439,-0.0240102235,,,
0.0351562500,2,-0.0114164699,0.0010350851,-0.0724489115,-0.0237553755,-0.0235742963,0.0033686184,-0.0106184165,0.0582110382,0.0282241678,0.0447626224,-0.0419194509,-0.0495826196,-0.0299919979,-0.0359162047,,,
0.0390625000,2,-0.0150104400,0.0033331429,-0.1052705557,-0.0287615620,-0.0219666780,0.0189958120,-0.0090416674,0.0954695302,0.0529022677,0.0794022988,-0.0570653723,-0.0683133929,-0.0366724525,-0.0491771705,,,
