Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD
1.0,4155.361577987696,4153.410449981714,4156.352151870753,4156.31711196902,4172.364294052151,4160.82332420352,4156.809408187892,4158.882202148461,4170.362087249781,4156.647132873562,4140.550387382533,4154.2573051452855,4165.28594589236,4156.575508117701,13.06164397779385,13.218102023681634,17.496123760923286,17.601057413124042,8.296128297445161,13.765472878624372,13.19697762249085,12.97611995878504,19.130150574961725,12.731194354203645,18.29656017285338,19.750894387492767,12.349535017112341,15.43678099270642
2.0,4175.929489135768,4169.414558410671,4164.5753002167,4165.2834529877,4169.328922271754,4171.751283645653,4168.733957290677,4175.59296226504,4156.812915802026,4166.886028289822,4188.994380950959,4179.273839950583,4167.500015258814,4179.232271194489,9.88281095696293,12.77984578486378,12.608405771831872,13.567124143006923,6.536037570440168,12.384666914452827,9.187764923303012,12.84090693531907,17.939588647081713,12.469997186429056,22.271608568648958,13.49315359514244,10.521605484702187,15.456643412912435
3.0,4169.82971000674,4173.834142684961,4156.830915451076,4169.873796463038,4165.372102737454,4159.680496215848,4165.508819580103,4168.427988052397,4161.717241287258,4163.925270080592,4188.8286285400645,4180.5218372345225,4170.591445922879,4177.643224716212,16.250496851817342,15.781038119080906,20.60248518121328,18.744878302169813,8.527477229502791,13.261365381955615,9.51023803755024,14.53871351768478,19.182132452956854,20.392442965593343,26.89113534943061,20.68335073946897,11.818536735074453,20.090416093535655
4.0,4162.015716552757,4168.978847503688,4165.597448349026,4162.707340240502,4171.703723907497,4157.645730972316,4166.054698944117,4163.499078750636,4166.538944244412,4167.828039169337,4162.608171463038,4163.6673660278575,4171.3266277313505,4173.253208160426,14.088002257787224,16.610745054794325,21.005728397181244,19.51892391478445,8.262333362894598,8.96536870546822,12.484769658557548,14.377878733689801,17.53316950617993,15.95746922147436,17.70986272953776,17.420807819207127,11.469354551924038,14.555439802077613
5.0,4170.673587799095,4169.484672546412,4176.107782363919,4179.040454864529,4168.288757324244,4149.980466842679,4168.75650596621,4169.166654586819,4164.764614105249,4166.157352447535,4157.572113037133,4159.979461669949,4170.371088027982,4170.94749641421,12.016678342747708,13.398553579933214,16.52693816558669,17.470896592464904,7.918885813983496,15.253924237515912,12.657342216370568,14.006942695104856,17.038722919683114,17.14999231760547,17.791221292523772,17.179607310795046,9.824749190214542,14.163349710738729
6.0,4172.056789398216,4160.2278461456535,4164.463659286526,4163.331829071069,4165.093151092556,4173.731971740748,4162.746389389065,4167.16196823123,4174.337430954006,4175.444704055812,4142.382310867335,4161.202419281031,4167.791463851952,4170.876396179225,12.492242519020033,13.270826116313465,13.628174865611337,14.64148590726562,7.567285175813396,15.878459298921491,14.291190107838986,17.82218906250778,21.631415592917968,15.150814898507015,11.769503847790416,17.60824533895267,8.41088961439457,11.260779814996397
7.0,4174.278347015405,4174.135620117214,4178.932806015042,4174.697507858303,4171.073223114041,4186.824924469019,4174.4115467071815,4174.361473083525,4196.881015777615,4169.339941024806,4151.3887081146495,4173.900743484521,4173.266725540188,4176.188903808623,12.642680536151172,12.95228280245244,15.573676566963202,13.42517308815148,7.957564074744779,11.814194836592659,11.273132306113112,13.371854245425812,17.548963235972355,17.671085899657655,17.677586142667973,16.49158521659322,11.783374113070007,15.079161769414315
8.0,4166.905050277734,4165.995594024681,4164.366994857813,4162.818519592311,4169.253303527859,4172.221553802517,4172.294666290312,4164.787155151392,4153.965364456206,4170.589942932153,4161.361690521263,4159.471658706692,4164.2978668213145,4163.358873367334,12.65916372628537,14.423353415788743,13.238064891165312,14.30811439424751,7.2966329904460725,12.183422861297764,10.497693789386695,12.439394712289966,17.25763559963746,17.64388551950857,16.8017170716514,15.787554029024687,9.701887377332238,13.595819332347721
9.0,4161.2855548858915,4164.410049438504,4167.18049240115,4167.505502700833,4174.5397739410655,4157.8390464783,4165.0320529938,4168.589246749903,4158.652839660671,4174.020416259791,4198.914247512843,4174.911861419703,4170.567390441923,4168.660367965723,10.630022680882213,13.258502370214341,13.32199916867808,13.618067920898481,7.233029686066775,11.046578867249577,10.535598185843968,16.93440713059857,18.424084612177452,16.041542225503548,18.859214087990985,13.53741935346971,8.448170511939953,12.215502389701056
10.0,4169.068519592311,4163.2962818146,4163.21615409854,4164.182704925563,4169.8387317657725,4169.310386657744,4168.854173660304,4170.927988052394,4170.045581817652,4171.87949943545,4187.503513336205,4166.8955383301045,4164.68849754336,4166.949615478541,11.912369900288187,14.027874161084108,13.157839072955156,14.774157497365,10.371838904467422,10.59118908395607,10.356284677553244,18.221533957736124,19.989105301535282,18.357323358430754,25.775495816116305,15.773943141895609,9.233648498885755,11.765252694716217
