Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD,Classification
11.0,4135.6009531021355,4172.693803787257,4173.441007614161,4175.168260574372,4177.520034790066,4175.505817413357,4160.09915924075,4178.182590484646,4169.605863571193,4182.339735031153,4176.969636917139,4168.887727737452,4177.064287185693,4214.137134552027,36.80474390936619,15.482984672237729,13.516379829279412,17.771669927609736,7.770115131463318,10.943229912462618,16.310511970457185,17.974789275260193,13.101979403782785,13.113515555653267,13.950339572475265,16.463776977124848,13.802388399664254,11.0293357092225,open_hand
12.0,4199.78164672854,4173.136026382472,4192.308694839502,4176.465353012114,4173.5296440124785,4178.677371978785,4166.204420089751,4182.506996154812,4174.14313316348,4181.166360855126,4177.942703247096,4173.632310867333,4176.604564666773,4221.066200256375,50.406875774475985,24.280160129888056,25.40020328739264,26.928847544773184,13.110909839083067,14.51866410377979,22.534273912963585,21.420950203942514,12.812452636086707,19.83065205434094,18.985394798996616,15.985768869416901,19.53894117154578,16.173190791199463,open_hand
13.0,4198.829624176051,4165.82731056216,4139.198198318509,4164.182191848782,4171.547487258937,4166.976148605372,4215.642024993924,4161.811378479033,4167.743892669702,4164.592340469387,4160.591430664083,4163.778543472317,4165.211353302025,4210.648548126244,62.21543735611515,23.797546611620493,29.027919688799244,26.34724592250565,11.145852335128343,11.139562204714125,14.57210176212628,15.943662554441,15.23509700319737,15.174277967566642,12.648081877858816,12.333806433983662,12.38305966572892,9.955641581643455,open_hand
14.0,4077.087841033952,4108.011824607869,4089.7240657806597,4105.567412376422,4159.263816833521,4094.648938179035,4150.745691299468,4104.673982620259,4100.618496894854,4104.461636543296,4112.370811462422,4116.3897132873735,4107.542592048665,4170.125207901026,33.47532469120994,35.603069515989205,36.107247615470996,38.3314747911672,50.208714073584666,42.827443231106535,33.69173943245861,37.93779321920415,42.791588622896334,47.335741710079674,47.28735423941887,42.46646836151801,41.90651649719641,33.50781764050001,open_hand
15.0,4119.319402694725,4173.79708099368,4197.656246185326,4178.2982940674065,4213.037359237696,4161.790866851836,4157.130905151395,4160.51231193545,4166.943103790312,4165.80127716067,4180.546379089381,4190.023546218896,4179.21875572207,4228.307796478296,22.232899566761397,17.147928971395643,32.11867262928239,19.221154629999543,19.935690203012303,16.831852246646033,19.3056561243201,19.624223090749386,20.17433867595776,18.1958826425885,14.0714220173277,13.501701840983316,13.939885899318911,12.088661344224153,open_hand
16.0,4185.899932861353,4197.693311691308,4192.43690490725,4201.863979339625,4173.862182617216,4202.506490707425,4194.473663330102,4182.989280700712,4204.100549697902,4200.314004898097,4181.013603210472,4182.1499500274895,4193.896224975611,4239.838241577172,37.322552595907446,18.079494666738693,40.02439733450187,19.462084470739377,8.1567352586143,18.052868071889687,23.340883915364923,21.50227783497292,16.81245171251007,12.632283596295878,19.083606455316303,19.256707671449995,18.22416073287333,14.002501891138852,open_hand
17.0,4162.148921966582,4190.998102188134,4190.120683670072,4192.256616592434,4173.1139812469755,4190.23187446597,4158.370399475127,4184.8252372741945,4192.163454055813,4193.380903244043,4178.813087463406,4164.67496681216,4181.958120346096,4227.125411987333,33.05096710065886,20.204215596225104,48.89127778674102,21.861940207160117,8.585500412890042,13.891519515432798,13.129867644631474,10.812605628425525,13.067887037568402,15.97594790968491,15.621339074734662,13.917982939795666,11.52716968022972,9.98567398330351,open_hand
18.0,4177.4724578857695,4167.443906784085,4160.576911926295,4167.37430191043,4167.596639633204,4192.947219848655,4163.178085327176,4183.656848907496,4183.566701889062,4175.267921447781,4196.677179336575,4185.748701095606,4192.865592956567,4230.767734527613,24.539947975577473,16.66641130932212,16.238122710404326,18.05799458687629,9.321146967871867,9.978724046114323,16.952365229561725,12.935344372677173,13.64998787498102,15.250726872790743,15.009590596456453,14.980677564250723,13.628036370808637,10.303348990990775,open_hand
19.0,4144.516225814845,4174.016931533837,4189.4165744781785,4175.354560852076,4139.255308151269,4165.976551055928,4154.031944274931,4180.027038574246,4167.38031005862,4177.861080169703,4168.975858688382,4175.173269271876,4176.740806579619,4225.200841903715,23.588564751564448,18.665996034168955,17.032593751558245,20.7609152491779,20.949644000780747,22.23350874212965,16.863947137747836,14.064642763732476,16.47471491899454,16.662121641587987,16.482606870206816,23.97798195557659,16.274385173972696,13.964618045344292,open_hand
20.0,4163.130001068144,4153.513122558621,4177.047784805323,4158.756004333523,4146.934093475371,4159.855272293116,4146.840440750151,4174.286352157616,4161.320093154931,4160.088134765653,4162.002714157129,4160.812826156642,4161.655656814601,4212.986782074001,25.721584240896874,12.231489277264721,12.39893810223254,12.867895697063803,7.8873328035737496,11.532371545977291,14.334367025626383,18.211112504272492,12.772213102920722,15.890733037638746,13.454057882296356,14.694619984758468,16.661672671486826,13.414130443085666,open_hand
