Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD
10.0,4172.752914428738,4169.55978965762,4171.589035034202,4171.750295639065,4168.708444595366,4164.930387496976,4172.273639678981,4174.052486419707,4168.318309783961,4164.392036438014,4178.94381141665,4177.239088058497,4166.9020404815965,4163.39342308047,10.211658120406902,13.24502760975387,15.03043395028943,13.460647146044563,7.9674736722728525,11.620776043232803,9.125165411076315,8.585567497712447,17.45235948585271,13.617465273245273,16.480562327032995,17.069864119893534,15.22455141572017,12.551573370035191
11.0,4178.662858963039,4168.818107605009,4169.359983444239,4166.341644287136,4171.600563049343,4169.968957901028,4167.9216556549345,4169.995981216454,4154.760608673123,4167.476459503201,4166.273530960109,4169.496181488063,4154.685495376612,4156.819400787377,11.901837981804828,11.177907817275633,15.474932830245542,12.710611199358553,9.760707309466712,14.354248369062303,6.312848572638411,15.351622185386264,17.461669762985462,17.075101383270585,19.137054018306372,18.344596699358597,18.28694597844365,17.62749702589245
12.0,4180.686597824126,4174.617385864282,4175.133220672632,4175.339523315459,4176.609571456937,4176.091733932519,4173.1810741424815,4174.022445678735,4190.060598373439,4178.954828262354,4176.434291839625,4186.249998092678,4177.696819305445,4169.741075515774,14.817460186583011,14.890256227449031,20.73247674412371,18.49868445072239,9.378082494449716,8.658717422941113,5.298704249082687,14.833527038779625,16.910305644887774,19.943805748514176,23.807333139611007,23.68749087616378,21.47826150981498,22.348479316387728
13.0,4181.434295654322,4173.376928329495,4176.629611969021,4169.647434234643,4165.377611160305,4171.675685882595,4165.2278614044435,4170.302497863796,4160.436178207421,4167.861574173001,4168.155532836939,4166.613594055202,4162.568605423002,4160.36607933047,18.143444101081403,17.705690893458026,25.6404351678862,21.39132077826046,12.700034869917456,15.466987747571062,6.79021841724737,12.605640946976994,13.616629270858043,24.080760205564314,27.522024288027,28.56306319343773,25.16931449288231,25.883692374148474
14.0,4174.575817108181,4168.01631927493,4174.763616561916,4167.404350280788,4164.343446731593,4160.522846221949,4161.29907608035,4167.899131774927,4154.026453018212,4168.632293701197,4163.001291275049,4166.99169540408,4164.574316024806,4155.814805984524,14.859429325953887,14.098021694446837,21.05656359248315,20.408201095336505,9.253944911643213,13.634937914469726,4.943982701814772,11.230981217094742,14.255057463048871,17.576207973142797,23.407243653880187,22.71049186694462,18.042018967586202,19.223154093141183
15.0,4178.220151901272,4168.3298435211445,4172.846054077174,4166.08121871951,4183.5977611542,4187.711339950589,4173.2181529999025,4184.051971435571,4182.582122802761,4201.239482879663,4183.125005722071,4182.706321716336,4189.390024185206,4173.408960342433,16.145932030510668,16.025663147865046,22.947364055665933,21.242568812738597,10.225121031662189,12.961963249426935,8.160399238264649,13.609435253102268,15.44167797126698,17.197799118959136,19.93274214406568,21.87811012425868,16.991557435080555,19.864313276910035
16.0,4165.621997833279,4160.717149734522,4150.038566589382,4156.257009506253,4175.672088623074,4178.435009002713,4179.01540946963,4167.890636444116,4170.746677398705,4191.858961105374,4170.066101074244,4161.504905700707,4174.136114120511,4157.344734191922,15.054664682220794,13.844116330944491,19.56252983213764,17.602266816109317,11.094795447861362,16.378185721655225,8.022963860287957,17.381082724722333,23.026000727445556,24.72808755612944,22.61663588986388,21.80902803358943,21.595868668673848,22.204301897226856
17.0,4171.434295654324,4165.926486969021,4163.401445388821,4170.369588851954,4163.60076332095,4157.879590988186,4164.231767654443,4160.40715026858,4153.893739700345,4157.860080719022,4175.094652175931,4163.294275283839,4168.003297805813,4156.949625015284,12.813851890630756,15.217592471352917,18.364267627469,15.43418210747978,13.973300590808954,12.502253126777667,6.465958056738894,11.262924117467664,12.639981656832193,15.755477247602498,20.89289134086483,20.12063709569498,17.960771726221605,17.838616063267413
18.0,4170.783750534087,4174.075027465848,4175.6074695587395,4171.62862014773,4161.346172332792,4176.705734252959,4170.707130432154,4167.535535812402,4172.756389617945,4166.6676731109865,4169.764108657864,4174.114582061794,4172.16045951846,4166.330135345482,18.460869486779295,15.841025861987362,23.03936507253009,19.31808505854111,15.90742286451893,14.01590470157315,8.10696275509682,13.846524822144314,16.232587523576665,18.26473186925887,20.950358706183714,26.288227391735514,17.23154024726092,22.52641033232852
19.0,4171.623592376736,4169.639406204249,4169.818216323878,4163.546175003077,4175.768217086818,4167.959232330349,4175.413658142117,4166.319122314479,4177.77295875552,4181.958120346096,4168.560707092308,4168.032354354884,4164.229766845731,4161.867475509667,14.87058677363459,15.914846563914168,21.253203628700934,20.544630530278262,10.004656686586713,11.39303880648342,6.280620481735308,9.362526531887074,11.261630108095648,14.994773461549437,23.376256090472438,22.62359134530661,16.74387538138397,18.439597356637247
