Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD,Classification
11.0,4172.605163574244,4182.1013641357695,4182.367288589504,4182.645233154323,4180.429687500027,4166.287067413356,4168.483081817654,4176.730258941676,4165.3976364136015,4169.8732967376955,4154.44710922244,4173.075908660916,4167.938699722314,4217.799985885651,23.293504009365844,14.96953016637411,15.290249514420086,16.103506688446956,9.169550738057357,12.023931768854226,10.858881527618095,15.282632045038458,14.894092657786146,14.322651551663927,17.422888919907557,19.794583279889405,14.469141674995225,13.535488699426617,open_hand
12.0,4147.196514129666,4163.1480464935585,4156.085741043114,4161.666666030909,4170.021017074612,4181.236484527613,4161.02513504031,4196.320116043116,4166.811401367211,4165.031040191678,4152.7278594971,4187.698827743558,4168.525144577052,4218.209642410302,14.221410477390519,12.796002582556028,18.011446580726233,14.806156915952723,9.066398974336378,14.229895388585662,16.735555000856156,11.940668899809433,19.788149373284234,18.817114373699635,23.11420495527384,21.536398124808247,17.88530755411605,13.049727299789872,open_hand
13.0,4183.153039932276,4151.128316879298,4162.856571197535,4147.244594574003,4159.813697814963,4164.429084777859,4173.245700836208,4176.2269611358915,4172.28114891055,4171.1528472900645,4188.798076629665,4178.385416030909,4181.188411712674,4226.145326614406,27.584045405780923,13.005835358966092,14.238192875961206,14.506206586795257,11.796627688577683,16.650296875013677,16.912276854552836,21.39689937836343,19.19759687309342,17.44259425357596,20.331435306089496,21.225674877036035,16.18367555854774,13.62086875860489,open_hand
14.0,4161.771833419827,4181.23948669436,4170.354576110868,4183.303281784081,4182.937690734889,4168.87369346621,4160.107177734403,4156.985183715849,4173.125000000027,4180.460739135768,4169.2397785187,4175.5012969970985,4183.367883682278,4232.42588424685,17.901280004626813,16.540996412371342,21.154937847441662,18.743738466391154,23.100773429263466,18.745845596381013,24.90997700589618,22.92033241188201,26.550383830223424,26.980548508808198,26.6686321478971,18.29599436539175,21.86019317662873,21.60018370262596,open_hand
15.0,4194.013912200954,4199.119594574002,4179.315404891995,4201.716732025172,4188.916776657132,4186.059188842797,4207.337760925318,4148.012324333213,4182.740877151513,4180.827318191554,4185.412166595486,4171.401748657252,4178.581733703639,4240.948020935083,19.81766688563538,12.744446948922189,15.37705577532798,14.852559002733395,11.869711834051639,13.293843988523395,11.095119596612621,31.804394885939807,14.5197990298528,19.282411733909967,23.32696514781809,16.329985764721467,18.26311127131843,14.337864700240962,open_hand
16.0,4186.471343994162,4149.8497791290565,4164.312885284452,4143.919281005883,4142.147464752222,4165.085655212428,4124.466160774255,4115.857877731349,4164.88583374026,4173.747997283963,4166.190412521389,4195.925477981595,4163.635330200224,4217.571128845242,19.2661061231948,18.40355059496108,25.42778642452935,20.335347681659247,16.040683674174787,13.747025435516282,33.377863749674546,23.120368804286844,16.298116286007648,15.935491496412297,22.26326990192381,41.21366293728187,16.38316169552902,16.038965387872718,open_hand
17.0,4214.774129867579,4152.490976333644,4157.3152065277345,4149.975961685206,4143.383905410789,4163.578727722193,4158.246183395413,4181.2429809570585,4158.444503784209,4162.62169837954,4164.226263046294,4169.079019546535,4161.303592681912,4205.165248870877,39.915947639449065,14.215837976736971,24.924162212408767,15.606484082588265,9.646798501893505,8.304804655417444,16.32933962790927,17.478139033042275,16.57670897386007,17.85198265833978,19.49116924728583,29.920371524057792,16.7652196919356,14.33045827214825,open_hand
18.0,4158.328817367583,4154.7926769256865,4167.133415222194,4152.525554657007,4168.31931304934,4166.739282608057,4167.322212219264,4202.81099891665,4163.980880737328,4168.939794540432,4159.490200042749,4098.266225814838,4165.9880847931145,4210.909940719632,16.74561922528347,15.671875459124802,28.542149423424767,18.168706515541103,12.124578229318919,12.837111433481741,14.454077663120927,10.38820051175566,14.778879244050973,16.588295297674527,18.166320581891004,20.044852046450128,14.82347452503511,12.32228600114958,open_hand
19.0,4174.399536132835,4168.963331222563,4155.1306934356935,4169.185194015525,4187.9226779938,4172.152957916287,4187.152433395411,4171.848960876492,4165.273426055936,4161.291059494044,4162.4589366913115,4147.947219848658,4170.395606994654,4214.546772003201,17.245504033537305,13.577950002866277,20.48468998579471,15.372266569641168,20.82575029032858,15.953951865772545,12.17990152649991,14.107089963185585,19.043262058851916,17.408515567418213,19.667905943636512,22.052412519692986,16.477824915868556,15.629472994678732,open_hand
20.0,4175.220340728787,4170.303491592436,4167.56312179568,4170.959539413478,4180.347063064601,4158.772029876733,4162.86959648135,4153.105968475369,4154.007410049464,4159.297372818019,4150.954038620019,4174.373487472558,4160.810802459742,4212.524532318141,30.695494351675137,18.299252249249363,15.85750171242754,21.459899406984384,13.313032049252994,11.899854027744468,13.93213670981006,15.060567899104495,17.853344218203837,16.657435943159083,18.74399986180721,19.386491293162592,15.422450385990603,14.26238738965466,open_hand
