Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD,classification
11.0,4152.432897567777,4122.671275138881,4119.307905197165,4120.5603923797835,4118.517616271998,4110.793271064782,4082.661258697526,4121.666671752957,4110.196316719076,4112.283649444602,4103.57373714449,4114.1847047806,4115.0155305862645,4160.399135589626,19.18781240794995,20.36462111412337,20.066473677849995,21.72798272289343,11.366413033490844,14.4204948033514,15.279773211362404,20.61303889940396,24.18671667581276,26.331830707555117,42.83772850267686,23.702460136344918,24.98221983195345,14.610334907051161,open_hand
12.0,4156.89402389529,4107.4584493637285,4124.720543861414,4104.859775543233,4145.262416839625,4159.7506065368925,4161.3812055588005,4148.211135864282,4154.243288040188,4161.20342636111,4173.396446228051,4150.033050537136,4162.545076370265,4164.095056533843,21.449271819068002,19.11946812444172,18.59925627876081,21.869424098253308,9.741161210129926,13.571446295671043,50.92370956436411,12.240928369024095,14.744953423436838,15.498135796038556,11.244859567391076,19.058839002488146,11.58476924821431,14.790211891922102,open_hand
13.0,4152.227079391506,4161.835926055932,4175.9565334320305,4163.563724517848,4160.340044021632,4161.453832626372,4216.5259399414335,4157.8565788269325,4162.505020141631,4164.908859252954,4176.419275283841,4154.391515731839,4177.870086669948,4211.375215530422,38.34085789364315,20.96019895365636,23.456632972964794,22.058070954571964,18.377779472923663,23.599432183240182,23.120687801191277,18.688915788708226,18.999783906153777,19.313343129608985,18.892730797508822,23.661124624175898,16.64666609750178,25.816124870726348,open_hand
14.0,4096.631114006061,4163.742002487209,4178.014318466214,4165.434709548976,4162.545583725006,4166.867492675808,4214.58783149722,4161.495403289824,4167.213031768826,4162.5530719757335,4166.794366836575,4164.653444290185,4164.503711700466,4225.882915496854,26.67535136531792,15.562973897869533,16.764993490620906,16.142958314346977,9.580141084324739,13.318883215169803,16.802635681231244,20.07595537448017,16.841677988688314,16.723812875525084,16.95753823372714,15.322546284730311,17.012510191553925,12.278474797068647,open_hand
15.0,4153.170065879845,4163.101461410548,4159.735578537014,4166.381711959865,4157.316196441678,4158.654352188137,4212.479478836085,4157.202534675624,4163.416948318508,4155.262420654323,4157.569614410426,4158.601278305081,4178.98788642886,4207.19700813296,58.96412894279528,14.22218486103438,14.63299581586945,14.78604604098076,11.781732139409709,17.619770190645255,21.827466016667987,23.804188721028662,16.677306063116365,15.83979664382488,12.947889464507123,15.805163891055635,17.767035411813506,13.518700255305909,open_hand
16.0,4190.727664947534,4161.38322448733,4159.151643753079,4161.496912002589,4154.053480148339,4122.988792419457,4161.912557601954,4152.121887207057,4147.951725006129,4148.941795349148,4151.273553848292,4156.782844543481,4152.543071746851,4208.271730423001,16.405767618419066,11.874923656038474,13.669053318508297,13.106509455102659,10.634163932390265,26.866315242753423,18.86880490308286,21.904117066195788,21.122200055905353,16.44076665424904,15.907457740247537,15.879770439777904,12.953867259163747,9.02214580220124,open_hand
17.0,4185.3190021515165,4160.954523086572,4153.454517364528,4159.356969833399,4160.179290771512,4156.938589096097,4124.762629508995,4149.5738239288585,4162.3342361450495,4161.643131256127,4158.272741317773,4149.504219055201,4151.429283142119,4211.6616611480995,12.611817681379243,18.286341896054683,12.700705440829488,19.32001264321503,13.021890909499483,12.006798562368752,18.867216589628566,16.160824569148293,15.445443055430601,17.99572456711293,20.862258513055984,17.10000473736156,15.276093844011184,14.34167690941656,open_hand
18.0,4162.030258178739,4177.098361969019,4173.257223129297,4176.864480972317,4163.20712280276,4159.135103225736,4140.327024459866,4160.725662231472,4159.742076873807,4161.4222755432365,4139.634913444547,4158.237178802512,4155.401630401638,4214.678989410428,23.930923190555173,18.2039618972373,18.66868015485731,19.6408974411851,9.956753538682968,12.197332320277168,15.838333897753106,11.55285503509759,10.885107588167626,14.584710477131026,22.98248094194445,17.05847215804448,15.971394658722485,11.867396094500776,open_hand
19.0,4152.7649192810295,4176.717241287259,4169.952436447169,4175.628513336208,4176.752809524563,4184.6459331512715,4156.228948593169,4178.512130737331,4174.488172531153,4179.910346984887,4181.793880462672,4171.636114120509,4182.365777969388,4226.270017623926,18.332158288948072,17.486799876627746,28.857483439968327,19.015197768239346,18.813712103445177,21.47418818804585,21.109951693154784,19.796738505610552,18.98490329441216,19.238201261933757,21.598961372540796,18.650629579089774,20.255214381557145,14.95805280105551,open_hand
20.0,4212.240594863921,4226.388233184839,4229.829744339015,4225.450719833399,4258.3002815246855,4250.469745636012,4177.43437957766,4265.81328582766,4263.508607864408,4261.183895111109,4258.210134506252,4233.988897323634,4261.318595886257,4287.813488006619,58.14445415711509,74.31161966810187,59.42494040619731,78.76334116595211,70.53348632790049,60.79643978818066,43.07785401721367,60.31375714957644,71.61062815891746,72.64473438302034,72.38001426447862,70.7043662692174,63.587246716950354,56.74084911637617,open_hand
