Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD,Classification
11.0,4006.2935600280907,4133.8842220306615,4150.008012771632,4149.110563278224,4162.261621475246,4157.366773605374,4177.2160530090605,4164.448619842555,4164.985483169579,4165.170770645166,4166.182374954251,4132.948212623622,4166.393222808864,4203.159543991116,33.14535178243909,27.03327513673156,24.557453996710095,30.938893263010854,28.858045447933222,30.322252713920495,26.79126759887532,9.51419286648905,24.553961629713793,23.199619945273422,17.72340254668698,28.510326057349477,25.319396718398906,22.091059618295166,open_hand
12.0,4097.043260574359,4131.315103530909,4166.1378192901875,4139.738082885768,4163.072906494166,4164.594341278101,4178.8085994720705,4174.24929237368,4182.981756210356,4190.664567947415,4221.837430954003,4187.770425796535,4201.265031814601,4224.953414917015,35.8278659155622,25.00149369940968,26.352181527839615,26.8406387501639,22.645536389186,21.909433224008126,27.184197807083912,11.31033890156544,22.719598383144135,26.304737476698826,25.014735391120258,35.767109430233866,17.512651307301468,19.99176658438404,open_hand
13.0,4157.409860610987,4153.7680492401405,4164.242292404204,4158.422990798971,4165.579425811795,4176.125787735013,4197.955234527613,4187.487958908108,4181.15084648135,4201.007125854519,4206.153852462794,4225.102163314845,4184.414058685325,4231.030143737816,26.87333429289798,14.37503301698613,15.335265295414844,18.366032114395246,9.555333870566077,10.221410069656866,23.854073848883992,12.280289424876694,13.114898699707478,12.821721348905028,17.679238721274565,20.460989320144865,15.735255113520404,12.759678749513407,open_hand
14.0,4104.286360740683,4174.291885376004,4177.314193725613,4181.590045928983,4172.586132049586,4177.701314926169,4170.888422012356,4179.546789169338,4169.34795188906,4174.330430984524,4169.316911697414,4180.607980728178,4171.619096756005,4218.41897201541,19.006976129865013,19.106557877309868,15.911933043571896,22.323582169615097,16.35864981339485,9.037334104604854,11.800598735125972,14.398144795977581,16.83489169083439,19.402344050678053,23.7576489074766,29.27001434152833,19.822520449096366,14.902809281915726,open_hand
15.0,4150.413660049465,4186.503419876127,4182.391332626366,4193.86218070986,4183.793567657495,4171.298084259057,4166.64663124087,4172.34627151492,4161.504901886013,4168.413459777856,4156.81542205813,4147.834548950224,4145.630493164086,4215.084634780907,14.729380818317289,9.470461763159854,16.956758557371572,10.823333631896924,10.683904697719903,11.887147664296878,31.293667200586025,17.754083129474658,17.26253928132403,25.9188046081958,17.407935206468952,13.938952121732909,11.71944402656472,10.773953498618608,open_hand
16.0,5323.976361274743,4146.980670928978,4145.110189437892,4122.670762062094,4160.404136657742,4161.464336395291,4164.546779632595,4151.770341873195,4168.952833175686,4179.641935348539,4221.9230861664055,4147.030755996728,4197.725872039822,4216.899040222193,1455.4816498406972,17.41410759956682,17.031385498460654,36.708081464560436,10.522818937883018,9.898895371514154,30.458805497054637,9.273787573845892,18.604834802584293,17.512521051978798,21.955783220926243,22.818835454369783,18.98971394215249,12.88133962454017,open_hand
17.0,4410.942017555255,4184.068511962918,4155.023525238062,4160.977571487453,4167.148454666165,4167.709833145169,4147.297670364405,4153.475542068508,4157.63421630862,4167.747896194482,4154.237277984646,4160.55787277224,4165.060585021997,4211.972654342676,762.9963672884816,23.292761566142172,23.823193882943336,38.17421216049806,20.105204336912912,11.564171776386132,8.426027563274198,18.918254047228327,16.641352530238613,14.236250029481207,26.478241250413618,15.770259759101217,13.662671604295703,9.974250672995135,open_hand
18.0,3397.6918115615945,4198.051870346095,4179.898332595851,4203.462036132842,4171.072702407862,4172.270126342799,4161.629611969023,4143.9212684631575,4158.938810348534,4155.62800979617,4118.8977346420525,4182.668771743802,4145.922975540187,4207.701826095606,47.18063027922272,20.017840844859986,14.513619671327469,18.637707549339954,10.897138544027923,11.188846390775765,14.110802158778801,8.544210296823264,12.726942168265843,15.603944491035442,16.69446425747687,25.937322785638365,14.957422973887725,14.920666352245274,open_hand
19.0,3600.489789009108,4141.295576095607,4190.644018173242,4152.695304870629,4168.602745056177,4166.782848358182,4170.934978485135,4174.912851333644,4164.669975280785,4167.977766037012,4182.575117111234,4154.379512786891,4178.762014389063,4209.66598129275,82.29595926106417,24.957040199376483,20.201140962024198,25.542000492128626,11.661269142821608,8.27064805439707,17.051279492459102,14.578357838224912,12.447277727988537,18.399496879216723,27.412773279048935,21.490907976323342,17.62911219604214,13.283500310482037,open_hand
20.0,3788.140523910536,4127.017733573941,4150.7301673889415,4140.0576019287355,4159.47215080264,4167.698299407986,4161.64514160159,4167.019737243678,4166.439807891874,4171.813901901271,4173.830625534081,4143.2492046356465,4165.831817626979,4204.220758438136,226.11403740496428,13.522733261691613,13.784696307706083,15.846739701503509,12.138361544922343,12.578747135506202,16.418158707524206,10.061208521187588,12.515309219233632,12.389804179854991,20.534966088554047,13.985512195030354,12.778215941668298,11.778812690067534,open_hand
