Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,0.0070074154,0.0069774133,0.0069769839,0.0069784841,0.0069720558,0.0069621980,0.0069600547,0.0069585545,0.0069928424,0.0070044151,0.0069632688,0.0069767701,0.0069962712,0.0069969143,,,
0.0039062500,0,0.0617177502,0.0614588606,0.0614527231,0.0614601499,0.0614086742,0.0613239932,0.0613025448,0.0612934041,0.0615945415,0.0616857535,0.0613325685,0.0614489102,0.0616236693,0.0616319049,,,
0.0078125000,0,0.2739502219,0.2728259810,0.2727897290,0.2727897014,0.2725881781,0.2722253069,0.2721158696,0.2720971577,0.2734279464,0.2737791420,0.2722572722,0.2727598746,0.2735516987,0.2736020587,,,
0.0117187500,0,0.8366441064,0.8332812988,0.8331543865,0.8330348399,0.8325088692,0.8314510032,0.8310666632,0.8310868978,0.8351265414,0.8360248468,0.8315235417,0.8330103574,0.8354851849,0.8356855658,,,
0.0156250000,1,2.0148689298,2.0069044622,2.0066033936,2.0060030776,2.0049481763,2.0025415747,2.0014882685,2.0017460504,2.0114036645,2.0131451336,2.0026496865,2.0061051956,2.0122139380,2.0128082093,,,
0.0195312500,1,4.1283407516,4.1121895539,4.1116933670,4.1098240397,4.1080428431,4.1034211772,4.1010094663,4.1020095273,4.1216430868,4.1243780317,4.1035287469,4.1103434903,4.1231752559,4.1245971637,,,
0.0234375000,1,7.5357961251,7.5064017721,7.5059284957,7.5014312806,7.4987070987,7.4908317319,7.4860221744,7.4887849736,7.5243543595,7.5279231896,7.4909399234,7.5028915990,7.5268795720,7.5297718185,,,
0.0273437500,1,12.6210951774,12.5716739757,12.5719247333,12.5627944323,12.5587634677,12.5464464013,12.5378628878,12.5441688779,12.6033445605,12.6071441322,12.5468044107,12.5660120934,12.6070647692,12.6122551275,,,
0.0312500000,2,19.7809414620,19.7027785418,19.7051905663,19.6887559913,19.6826793408,19.6645655084,19.6505958646,19.6632257520,19.7554581772,19.7583768536,19.6660492830,19.6949116379,19.7604447441,19.7688944284,,,
0.0351562500,2,29.4141121342,29.2964870110,29.3034312894,29.2763532382,29.2668201783,29.2413195451,29.2202854509,29.2432207167,29.3797656770,29.3802141304,29.2459431197,29.2870700981,29.3859300506,29.3986815378,,,
0.0390625000,2,41.9120932187,41.7423787280,41.7572705257,41.7155280474,41.7001312922,41.6653012757,41.6356411161,41.6742109727,41.8681120004,41.8641514055,41.6767817466,41.7329213305,41.8752137690,41.8933579885,,,
0.0429687500,2,57.6510144934,57.4149162240,57.4422581635,57.3811248412,57.3561446908,57.3095251149,57.2699308648,57.3308983814,57.5969388349,57.5864823215,57.3338160137,57.4077675869,57.6046220532,57.6292873767,,,
0.0468750000,3,76.9847809909,76.6666179716,76.7120265766,76.6260656707,76.5862001169,76.5246019665,76.4740867843,76.5656461339,76.9202823528,76.9013396455,76.5703255385,76.6648336647,76.9281362129,76.9604899732,,,
0.0507812500,3,100.2393094871,99.8222400752,99.8924919912,99.7756012380,99.7137875765,99.6330448562,99.5709521417,99.7025940287,100.1638595574,100.1348116988,99.7117673143,99.8294083537,100.1715170683,100.2127734648,,,
0.0546875000,3,127.7077973702,127.1739686134,127.2770552692,127.1225676832,127.0299424197,126.9246585815,126.8506285247,127.0328509039,127.6201953355,127.5801042170,127.0509575765,127.1940534126,127.6274893569,127.6789318545,,,
0.0585937500,3,159.6469611207,158.9776438866,159.1227805305,158.9236001719,158.7896209928,158.6529675297,158.5668693073,158.8107483619,159.5447690532,159.4937174944,158.8442502248,159.0148496592,159.5519453413,159.6149819903,,,
0.0625000000,4,196.2741692007,195.4499713098,195.6474978818,195.3962439713,195.2089593842,195.0325910460,194.9344318688,195.2510931188,196.1531435953,196.0925641131,195.3086480705,195.5085971148,196.1610990041,196.2373618616,,,
0.0664062500,4,237.7653762234,236.7665861506,237.0277271590,236.7168782489,236.4633072489,236.2374300447,236.1272586836,236.5272993118,237.6189978760,237.5519147403,236.6197510700,236.8508364108,237.6294927842,237.7209694805,,,
0.0703125000,4,284.2537701912,283.0608068911,283.3973047204,283.0193599570,282.6859506808,282.3995256186,282.2773372000,282.7702623685,284.0729528192,284.0040701314,282.9104361345,283.1745561906,284.0887525439,284.1979124721,,,
0.0742187500,4,335.8290730468,334.4229542175,334.8466257356,334.3943141962,333.9674686176,333.6084856673,333.4741145515,334.0678552412,335.6020755997,335.5376977328,334.2701781657,334.5694938812,335.6270011944,335.7568656158,,,
0.0781250000,5,392.5374569292,390.9001907721,391.4224611805,390.8890240723,390.3556769236,389.9114167807,389.7644037309,390.4649604635,392.2499634093,392.1977963188,390.7449481498,391.0819866579,392.2888610912,392.4429763768,,,
0.0820312500,5,454.3820339190,452.4968940098,453.1283386791,452.5078830192,451.8561036149,451.3133288912,451.1527712043,451.9639825624,454.0173400477,453.9862496382,452.3376514039,452.7153569247,454.0759925689,454.2582985346,,,
0.0859375000,5,521.3238603274,519.1755742761,519.9254753827,519.2133600708,518.4329277304,517.7779977749,517.6024111702,518.5258135877,520.8631320892,520.8629171631,519.0090867268,519.4308191363,520.9481282183,521.1627551098,,,
0.0898437500,5,593.2833901150,590.8582974496,591.7342242363,590.9274084956,590.0103147516,589.2292686868,589.0364917335,590.0712381652,592.7060006198,592.7471954482,590.6793988630,591.1488783580,592.8245607833,593.0756167255,,,
0.0937500000,6,670.1423167269,667.4285129000,668.4359620335,667.5332404901,666.4740919235,665.5527628448,665.3399229460,666.4827480852,669.4262775870,669.5199651145,667.2299636170,667.7511647466,669.5860229252,669.8774317552,,,
0.0976562500,6,751.7457471042,748.7331766028,749.8753304053,748.8774048562,747.6737220252,746.5979240345,746.3614625551,747.6066994072,750.8682174900,751.0258246350,748.5056150094,749.0826284760,751.0768765808,751.4122970383,,,
0.1015625000,6,837.9046485801,834.5851010151,835.8627416542,834.7721294496,833.4245465881,832.1803321067,831.9160571750,833.2557180229,836.8424641321,837.0755210470,834.3171197669,834.9540156114,837.1075323598,837.4903516457,,,
0.1054687500,6,928.3985010866,924.7655088971,926.1770678280,924.9979003039,923.5102686459,922.0842137189,921.7873293960,923.2112632009,927.1286572477,927.4485222443,924.4438222415,925.1445503926,927.4570449847,927.8904112174,,,
0.1093750000,7,1022.9780856025,1019.0267740590,1020.5684432211,1019.3062368476,1017.6856289022,1016.0650898737,1015.7301653151,1017.2262883630,1021.4781416200,1021.8957134840,1018.6364090770,1019.4047600013,1021.8758565826,1022.3627082312,,,
0.1132812500,7,1121.3683566214,1117.0953063850,1118.7611391853,1117.4226097447,1115.6792176366,1113.8525159060,1113.4734058279,1115.0279793404,1119.6167690768,1120.1422199607,1116.6197733586,1117.4593999113,1120.0886719586,1120.6317399854,,,
0.1171875000,7,1223.2713764432,1218.6745212718,1220.4565112590,1219.0494527104,1217.1963762179,1215.1528958461,1214.7226647398,1216.3205854318,1221.2477940129,1221.8903555759,1218.0959838843,1219.0104645295,1221.7974482077,1222.3992374968,,,
