Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.0000000000,0,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,,,
0.0039062500,0,-0.0000062271,0.0000326643,0.0000155590,-0.0000264431,0.0000108842,0.0000264431,0.0000077795,0.0000373391,0.0000311179,-0.0000466710,0.0000202278,0.0000015523,0.0000233384,0.0000420021,,,
0.0078125000,0,-0.0000245545,0.0003145785,0.0001795441,-0.0002309547,0.0001167512,0.0002745150,0.0000952111,0.0003742490,0.0003061841,-0.0004001157,0.0002049419,0.0000286604,0.0002343054,0.0004104928,,,
0.0117187500,0,0.0000613558,0.0015029839,0.0010145106,-0.0009753615,0.0006258770,0.0014223442,0.0005679433,0.0018932777,0.0015296405,-0.0016693607,0.0010504278,0.0002188504,0.0011928420,0.0020131665,,,
0.0156250000,1,0.0007916043,0.0048072170,0.0038015155,-0.0026488258,0.0022598130,0.0049544771,0.0022302052,0.0065356472,0.0052620101,-0.0045406300,0.0036921610,0.0010352516,0.0041655261,0.0067031511,,,
0.0195312500,1,0.0034426053,0.0116953375,0.0107711884,-0.0050933789,0.0062310585,0.0131526640,0.0065668728,0.0174860995,0.0141691144,-0.0089890477,0.0101361484,0.0035859437,0.0113318109,0.0172409992,,,
0.0234375000,1,0.0100749360,0.0232683884,0.0248723722,-0.0068759682,0.0140580209,0.0285109775,0.0156313840,0.0388527473,0.0319518387,-0.0133443197,0.0233374160,0.0099435386,0.0257188815,0.0367960751,,,
0.0273437500,1,0.0231987956,0.0397123383,0.0491133283,-0.0048702703,0.0270798343,0.0526371675,0.0315794187,0.0746996472,0.0626949940,-0.0137666081,0.0469942085,0.0232610340,0.0507103797,0.0680805770,,,
0.0312500000,2,0.0451219877,0.0602646576,0.0856931237,0.0054857605,0.0458149976,0.0850119862,0.0559414907,0.1274914530,0.1095007090,-0.0045497008,0.0848779269,0.0474308462,0.0890539202,0.1122970526,,,
0.0351562500,2,0.0771254328,0.0837824965,0.1351935160,0.0292259409,0.0694393015,0.1221266816,0.0887515255,0.1962896355,0.1726435294,0.0206506887,0.1396135422,0.0861213016,0.1414830544,0.1680998497,,,
0.0390625000,2,0.1186276972,0.1094591535,0.1959540745,0.0704407208,0.0955992182,0.1573711188,0.1276341820,0.2751881190,0.2478005378,0.0668632789,0.2110533293,0.1412173701,0.2052552713,0.2307260393,,,
0.0429687500,2,0.1664817060,0.1369106518,0.2635251932,0.1307005256,0.1205602693,0.1816823641,0.1670498894,0.3523908107,0.3248889676,0.1354644213,0.2945731794,0.2109044977,0.2729624132,0.2913938732,,,
0.0468750000,3,0.2145314264,0.1651541205,0.3300544469,0.2075340629,0.1395584367,0.1847374970,0.1980670713,0.4102172119,0.3878212562,0.2219257371,0.3797287616,0.2878911519,0.3319681794,0.3371322735,,,
0.0507812500,3,0.2535886918,0.1908817862,0.3837810016,0.2932452741,0.1473190259,0.1565795045,0.2090864151,0.4263865041,0.4154049475,0.3143518394,0.4498252397,0.3585361989,0.3648799197,0.3514184504,,,
